,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,mean_parse_tree_depth,mean_ents_per_sentence,mean_adj,mean_adp,mean_adv,mean_aux,mean_conj,mean_cconj,mean_det,mean_intj,mean_noun,mean_num,mean_part,mean_pron,mean_propn,mean_punct,mean_sconj,mean_sym,mean_verb,mean_x,mean_space,label,label_num
918,82.14,8.0,5.4,6.72,6.2,6.67,36.0,9.0,7.12,7.0,1.2314049586776858,0.9130434782608695,0.65,1.74,1.0,0.96,0.0,0.57,1.57,0.0,2.43,0.09,0.35,2.04,0.57,0.26,0.3,0.0,2.3,0.0,0.96,B1,2
919,74.73,9.2,8.3,7.83,10.2,7.92,39.0,8.5,10.23,8.0,1.305764411027569,1.5294117647058822,1.88,2.0,1.12,1.24,0.0,1.53,2.41,0.12,4.12,0.24,1.06,1.41,2.12,0.24,0.65,0.06,2.35,0.0,0.94,B1,2
920,85.49,6.5,4.1,6.59,5.1,5.89,21.0,4.888888888888889,5.22,5.0,0.9695290858725761,0.5172413793103449,0.34,1.03,0.45,0.86,0.0,0.55,1.14,0.0,1.9,0.07,0.45,1.72,0.48,0.0,0.48,0.0,1.97,0.0,1.0,B1,2
921,78.38,9.5,6.8,8.12,8.7,8.09,66.0,11.4,9.0,9.0,1.4144,1.78125,0.75,2.69,0.88,0.72,0.0,0.47,1.81,0.0,4.16,0.75,0.59,1.12,1.84,0.0,0.28,0.03,2.41,0.0,1.0,B1,2
922,73.68,10.2,6.6,8.29,7.5,7.82,51.0,12.2,8.81,8.0,1.239884393063584,1.0,0.59,1.82,0.82,1.18,0.0,0.41,1.91,0.0,3.36,0.36,0.23,1.09,0.82,0.18,0.14,0.0,1.82,0.0,1.0,B1,2
923,71.24,9.7,7.5,7.48,7.7,7.12,31.0,7.571428571428571,8.73,8.0,1.2024539877300613,0.05555555555555555,1.22,1.39,0.89,1.0,0.0,0.78,2.5,0.06,4.67,0.0,0.72,1.17,0.0,0.0,0.5,0.0,2.28,0.0,0.94,B1,2
924,74.59,7.8,6.2,8.58,7.2,7.02,39.0,6.0,6.91,7.0,1.0369318181818181,1.4583333333333333,1.0,1.29,0.46,1.25,0.0,0.79,1.5,0.0,2.58,0.29,0.42,0.92,1.25,0.0,0.67,0.0,1.29,0.0,0.96,B1,2
925,75.0,9.6,6.1,7.53,6.4,7.5,40.0,8.0,7.76,8.0,1.3801916932907348,0.3181818181818182,0.86,1.5,0.55,1.23,0.0,0.36,1.05,0.0,2.45,0.18,0.41,1.59,0.5,0.0,0.32,0.0,2.27,0.0,0.95,B1,2
926,72.46,10.4,7.1,8.99,8.4,8.71,47.0,8.0,8.83,9.0,1.3707165109034267,2.4210526315789473,0.79,1.79,0.16,1.16,0.0,0.32,1.37,0.0,2.79,0.05,0.53,1.26,3.47,0.0,0.26,0.0,2.0,0.0,0.95,B1,2
927,70.94,10.9,7.6,7.02,7.7,8.06,37.0,12.2,8.84,8.0,1.2067039106145252,1.263157894736842,1.47,1.53,1.16,1.21,0.0,0.53,1.53,0.11,2.68,0.32,0.37,2.68,1.42,0.05,0.53,0.0,2.16,0.05,1.0,B1,2
